,BUILDINGID,wathtot,time
195,109c,550000.0,2021-11-22T15:00:01.096685Z
196,109d,161000.0,2021-11-22T15:00:01.096685Z
197,0002,384000.0,2021-11-21T15:00:01.888745Z
198,0005,4447000.0,2021-11-21T15:00:01.888745Z
199,0006,4504000.0,2021-11-21T15:00:01.888745Z
200,0007,4005000.0,2021-11-21T15:00:01.888745Z
201,0008,3200000.0,2021-11-21T15:00:01.888745Z
202,0009,1851000.0,2021-11-21T15:00:01.888745Z
203,0010,1794117.0,2021-11-21T15:00:01.888745Z
204,0012,673000.0,2021-11-21T15:00:01.888745Z
205,0013,397000.0,2021-11-21T15:00:01.888745Z
206,0014,221000.0,2021-11-21T15:00:01.888745Z
207,0015,43000.0,2021-11-21T15:00:01.888745Z
208,0016,2428000.0,2021-11-21T15:00:01.888745Z
209,0017,1438.0,2021-11-21T15:00:01.888745Z
210,0018,185000.0,2021-11-21T15:00:01.888745Z
211,0019,4577000.0,2021-11-21T15:00:01.888745Z
212,0027,583000.0,2021-11-21T15:00:01.888745Z
213,0029,3133000.0,2021-11-21T15:00:01.888745Z
214,0030,2434000.0,2021-11-21T15:00:01.888745Z
215,0031,1405000.0,2021-11-21T15:00:01.888745Z
216,0032,122000.0,2021-11-21T15:00:01.888745Z
217,0033,658000.0,2021-11-21T15:00:01.888745Z
218,0034,741000.0,2021-11-21T15:00:01.888745Z
219,0035,545000.0,2021-11-21T15:00:01.888745Z
220,0036,436000.0,2021-11-21T15:00:01.888745Z
221,0037,4156000.0,2021-11-21T15:00:01.888745Z
222,0038,1635000.0,2021-11-21T15:00:01.888745Z
223,0039,1932000.0,2021-11-21T15:00:01.888745Z
224,0040,295008.0,2021-11-21T15:00:01.888745Z
225,0041,24.0,2021-11-21T15:00:01.888745Z
226,0042,35000.0,2021-11-21T15:00:01.888745Z
227,0047,906000.0,2021-11-21T15:00:01.888745Z
228,0048,140000.0,2021-11-21T15:00:01.888745Z
229,0049,3635000.0,2021-11-21T15:00:01.888745Z
230,0051,1497000.0,2021-11-21T15:00:01.888745Z
231,0058,1141000.0,2021-11-21T15:00:01.888745Z
232,0063,3660000.0,2021-11-21T15:00:01.888745Z
233,0064,410000.0,2021-11-21T15:00:01.888745Z
234,0065,1062000.0,2021-11-21T15:00:01.888745Z
235,0066,493.0,2021-11-21T15:00:01.888745Z
236,0067,644000.0,2021-11-21T15:00:01.888745Z
237,0068,1102000.0,2021-11-21T15:00:01.888745Z
238,0069,3357.0,2021-11-21T15:00:01.888745Z
239,006a,242000.0,2021-11-21T15:00:01.888745Z
240,0071,635000.0,2021-11-21T15:00:01.888745Z
241,0072,858000.0,2021-11-21T15:00:01.888745Z
242,0073,573000.0,2021-11-21T15:00:01.888745Z
243,0074,578000.0,2021-11-21T15:00:01.888745Z
244,0075,466000.0,2021-11-21T15:00:01.888745Z
245,0076,728000.0,2021-11-21T15:00:01.888745Z
246,0077,339000.0,2021-11-21T15:00:01.888745Z
247,0080,244000.0,2021-11-21T15:00:01.888745Z
248,0081,682000.0,2021-11-21T15:00:01.888745Z
249,0083,267000.0,2021-11-21T15:00:01.888745Z
250,0084,202000.0,2021-11-21T15:00:01.888745Z
251,0085,209000.0,2021-11-21T15:00:01.888745Z
252,0086,177000.0,2021-11-21T15:00:01.888745Z
253,0087,929000.0,2021-11-21T15:00:01.888745Z
254,0088,92000.0,2021-11-21T15:00:01.888745Z
255,0089,157000.0,2021-11-21T15:00:01.888745Z
256,008b,4681000.0,2021-11-21T15:00:01.888745Z
257,0090,216000.0,2021-11-21T15:00:01.888745Z
258,0091,187000.0,2021-11-21T15:00:01.888745Z
259,0092,217000.0,2021-11-21T15:00:01.888745Z
260,0093,259000.0,2021-11-21T15:00:01.888745Z
261,0094,278000.0,2021-11-21T15:00:01.888745Z
262,0095,220000.0,2021-11-21T15:00:01.888745Z
263,0096,150000.0,2021-11-21T15:00:01.888745Z
264,0097,247000.0,2021-11-21T15:00:01.888745Z
265,0098,272.0,2021-11-21T15:00:01.888745Z
266,0099,345000.0,2021-11-21T15:00:01.888745Z
267,009a,6138000.0,2021-11-21T15:00:01.888745Z
268,0100,109000.0,2021-11-21T15:00:01.888745Z
269,0101,286000.0,2021-11-21T15:00:01.888745Z
270,0102,203000.0,2021-11-21T15:00:01.888745Z
271,0104,233000.0,2021-11-21T15:00:01.888745Z
272,0105,252000.0,2021-11-21T15:00:01.888745Z
273,0106,216000.0,2021-11-21T15:00:01.888745Z
274,0107,281000.0,2021-11-21T15:00:01.888745Z
275,0111,10422000.0,2021-11-21T15:00:01.888745Z
276,0113,1992000.0,2021-11-21T15:00:01.888745Z
277,0114,1062000.0,2021-11-21T15:00:01.888745Z
278,0115,378000.0,2021-11-21T15:00:01.888745Z
279,0117,3076000.0,2021-11-21T15:00:01.888745Z
280,0118,1998000.0,2021-11-21T15:00:01.888745Z
281,0121,1150000.0,2021-11-21T15:00:01.888745Z
282,0123,1180000.0,2021-11-21T15:00:01.888745Z
283,0124,3397000.0,2021-11-21T15:00:01.888745Z
284,0128,339000.0,2021-11-21T15:00:01.888745Z
285,0130,150000.0,2021-11-21T15:00:01.888745Z
286,0151,680.0,2021-11-21T15:00:01.888745Z
287,016a,991000.0,2021-11-21T15:00:01.888745Z
288,0194,324000.0,2021-11-21T15:00:01.888745Z
289,0201,3567000.0,2021-11-21T15:00:01.888745Z
290,0202,4379000.0,2021-11-21T15:00:01.888745Z
291,109a,300000.0,2021-11-21T15:00:01.888745Z
292,109b,304000.0,2021-11-21T15:00:01.888745Z
293,109c,495000.0,2021-11-21T15:00:01.888745Z
294,109d,158000.0,2021-11-21T15:00:01.888745Z
295,0002,337000.0,2021-11-20T15:00:01.892087Z
296,0005,4702000.0,2021-11-20T15:00:01.892087Z
297,0006,4952000.0,2021-11-20T15:00:01.892087Z
298,0007,4148000.0,2021-11-20T15:00:01.892087Z
299,0008,3460000.0,2021-11-20T15:00:01.892087Z
300,0009,2069000.0,2021-11-20T15:00:01.892087Z
301,0010,1838120.0,2021-11-20T15:00:01.892087Z
302,0012,727000.0,2021-11-20T15:00:01.892087Z
303,0013,497000.0,2021-11-20T15:00:01.892087Z
304,0014,287000.0,2021-11-20T15:00:01.892087Z
305,0015,49000.0,2021-11-20T15:00:01.892087Z
306,0016,2482000.0,2021-11-20T15:00:01.892087Z
307,0017,1896.0,2021-11-20T15:00:01.892087Z
308,0018,183000.0,2021-11-20T15:00:01.892087Z
309,0019,5345000.0,2021-11-20T15:00:01.892087Z
310,0027,917000.0,2021-11-20T15:00:01.892087Z
311,0029,4020000.0,2021-11-20T15:00:01.892087Z
312,0030,2456000.0,2021-11-20T15:00:01.892087Z
313,0031,1625000.0,2021-11-20T15:00:01.892087Z
314,0032,158000.0,2021-11-20T15:00:01.892087Z
315,0033,676000.0,2021-11-20T15:00:01.892087Z
316,0034,768000.0,2021-11-20T15:00:01.892087Z
317,0035,541000.0,2021-11-20T15:00:01.892087Z
318,0036,488000.0,2021-11-20T15:00:01.892087Z
319,0037,4580000.0,2021-11-20T15:00:01.892087Z
320,0038,1993000.0,2021-11-20T15:00:01.892087Z
321,0039,1960000.0,2021-11-20T15:00:01.892087Z
322,0040,310006.0,2021-11-20T15:00:01.892087Z
323,0041,29.0,2021-11-20T15:00:01.892087Z
324,0042,70000.0,2021-11-20T15:00:01.892087Z
325,0047,929000.0,2021-11-20T15:00:01.892087Z
326,0048,196000.0,2021-11-20T15:00:01.892087Z
327,0049,4249000.0,2021-11-20T15:00:01.892087Z
328,0051,1595000.0,2021-11-20T15:00:01.892087Z
329,0058,1258000.0,2021-11-20T15:00:01.892087Z
330,0063,3829000.0,2021-11-20T15:00:01.892087Z
331,0064,512000.0,2021-11-20T15:00:01.892087Z
332,0065,1059000.0,2021-11-20T15:00:01.892087Z
333,0066,502.0,2021-11-20T15:00:01.892087Z
334,0067,738000.0,2021-11-20T15:00:01.892087Z
335,0068,1116000.0,2021-11-20T15:00:01.892087Z
336,0069,3548.0,2021-11-20T15:00:01.892087Z
337,006a,342000.0,2021-11-20T15:00:01.892087Z
338,0071,250000.0,2021-11-20T15:00:01.892087Z
339,0072,90000.0,2021-11-20T15:00:01.892087Z
340,0073,208000.0,2021-11-20T15:00:01.892087Z
341,0074,176000.0,2021-11-20T15:00:01.892087Z
342,0075,406000.0,2021-11-20T15:00:01.892087Z
343,0076,254000.0,2021-11-20T15:00:01.892087Z
344,0077,116000.0,2021-11-20T15:00:01.892087Z
345,0080,252000.0,2021-11-20T15:00:01.892087Z
346,0081,676000.0,2021-11-20T15:00:01.892087Z
347,0083,282000.0,2021-11-20T15:00:01.892087Z
348,0084,301000.0,2021-11-20T15:00:01.892087Z
349,0085,198000.0,2021-11-20T15:00:01.892087Z
350,0086,206000.0,2021-11-20T15:00:01.892087Z
351,0087,985000.0,2021-11-20T15:00:01.892087Z
352,0088,95000.0,2021-11-20T15:00:01.892087Z
353,0089,184000.0,2021-11-20T15:00:01.892087Z
354,008b,4722000.0,2021-11-20T15:00:01.892087Z
355,0090,213000.0,2021-11-20T15:00:01.892087Z
356,0091,210000.0,2021-11-20T15:00:01.892087Z
357,0092,274000.0,2021-11-20T15:00:01.892087Z
358,0093,291000.0,2021-11-20T15:00:01.892087Z
359,0094,310000.0,2021-11-20T15:00:01.892087Z
360,0095,232000.0,2021-11-20T15:00:01.892087Z
361,0096,161000.0,2021-11-20T15:00:01.892087Z
362,0097,318000.0,2021-11-20T15:00:01.892087Z
363,0098,302.0,2021-11-20T15:00:01.892087Z
364,0099,365000.0,2021-11-20T15:00:01.892087Z
365,009a,6830000.0,2021-11-20T15:00:01.892087Z
366,0100,131000.0,2021-11-20T15:00:01.892087Z
367,0101,294000.0,2021-11-20T15:00:01.892087Z
368,0102,218000.0,2021-11-20T15:00:01.892087Z
369,0104,276000.0,2021-11-20T15:00:01.892087Z
370,0105,306000.0,2021-11-20T15:00:01.892087Z
371,0106,227000.0,2021-11-20T15:00:01.892087Z
372,0107,292000.0,2021-11-20T15:00:01.892087Z
373,0111,10850000.0,2021-11-20T15:00:01.892087Z
374,0113,2193000.0,2021-11-20T15:00:01.892087Z
375,0114,1169000.0,2021-11-20T15:00:01.892087Z
376,0115,439000.0,2021-11-20T15:00:01.892087Z
